time_stats.attn_input_reshape.min,time_stats.attn_input_reshape.max,time_stats.attn_input_reshape.mean,time_stats.attn_input_reshape.median,time_stats.attn_input_reshape.std,time_stats.attn_kv_cache_save.min,time_stats.attn_kv_cache_save.max,time_stats.attn_kv_cache_save.mean,time_stats.attn_kv_cache_save.median,time_stats.attn_kv_cache_save.std,time_stats.attn_prefill.min,time_stats.attn_prefill.max,time_stats.attn_prefill.mean,time_stats.attn_prefill.median,time_stats.attn_prefill.std,time_stats.attn_decode.min,time_stats.attn_decode.max,time_stats.attn_decode.mean,time_stats.attn_decode.median,time_stats.attn_decode.std,time_stats.attn_output_reshape.min,time_stats.attn_output_reshape.max,time_stats.attn_output_reshape.mean,time_stats.attn_output_reshape.median,time_stats.attn_output_reshape.std,n_embd,n_q_head,n_kv_head,block_size,num_tensor_parallel_workers,max_model_len,batch_size,prefill_chunk_size,kv_cache_size,is_prefill,attention_backend
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012319999999999937,0.012418000000000007,0.012384199999999988,0.012384000000000015,3.543105982048004e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8192,64,8,16,4,4096,1,64,1280,True,AttentionBackend.FLASHINFER
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01244700000000006,0.012543999999999927,0.012499200000000007,0.012512,3.28353468079303e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8192,64,8,16,4,4096,1,64,1344,True,AttentionBackend.FLASHINFER
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012415999999999996,0.012575000000000046,0.012505600000000028,0.012512,5.4708683040277196e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8192,64,8,16,4,4096,1,64,1408,True,AttentionBackend.FLASHINFER
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012480000000000019,0.012671999999999913,0.012562599999999998,0.012576000000000023,7.428485713788086e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8192,64,8,16,4,4096,1,64,1472,True,AttentionBackend.FLASHINFER
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01260699999999997,0.012672000000000025,0.012645999999999958,0.012671999999999913,3.184336665617124e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8192,64,8,16,4,4096,1,64,1536,True,AttentionBackend.FLASHINFER
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012607000000000028,0.012894999999999983,0.012741999999999998,0.012767999999999972,0.00010590372986820611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8192,64,8,16,4,4096,1,64,1600,True,AttentionBackend.FLASHINFER
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012607000000000028,0.01283299999999997,0.012742399999999997,0.012798999999999979,8.703930146776857e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8192,64,8,16,4,4096,1,64,1664,True,AttentionBackend.FLASHINFER
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012863999999999919,0.012959999999999923,0.012896000000000001,0.012864000000000033,4.0477154050150754e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8192,64,8,16,4,4096,1,64,1728,True,AttentionBackend.FLASHINFER
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012734999999999901,0.012895999999999845,0.012831999999999927,0.012833000000000084,5.390732788776377e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8192,64,8,16,4,4096,1,64,1792,True,AttentionBackend.FLASHINFER
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012927999999999941,0.013055999999999984,0.012998199999999984,0.012991999999999962,4.248482081875858e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8192,64,8,16,4,4096,1,64,1856,True,AttentionBackend.FLASHINFER
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012831999999999994,0.012995000000000005,0.012928200000000004,0.012958000000000027,5.7711004150003146e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8192,64,8,16,4,4096,1,64,1920,True,AttentionBackend.FLASHINFER
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012960000000000037,0.013216000000000009,0.013075000000000045,0.013088000000000079,9.176055797562019e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8192,64,8,16,4,4096,1,64,1984,True,AttentionBackend.FLASHINFER
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013535999999999946,0.013664000000000101,0.013593800000000034,0.013600000000000024,4.2484820818771894e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8192,64,8,16,4,4096,1,64,2048,True,AttentionBackend.FLASHINFER
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013503999999999962,0.013696000000000026,0.013619199999999979,0.013630999999999971,6.57978723060342e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8192,64,8,16,4,4096,1,64,2112,True,AttentionBackend.FLASHINFER
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013632000000000005,0.01379200000000003,0.013676999999999986,0.013663999999999987,5.9309358452117026e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8192,64,8,16,4,4096,1,64,2176,True,AttentionBackend.FLASHINFER
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013664000000000101,0.013824000000000069,0.01373440000000005,0.013759999999999991,6.20503021749014e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8192,64,8,16,4,4096,1,64,2240,True,AttentionBackend.FLASHINFER
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013600000000000024,0.013760999999999968,0.013677000000000022,0.013663999999999987,5.231443395468781e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8192,64,8,16,4,4096,1,64,2304,True,AttentionBackend.FLASHINFER
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013822000000000003,0.013855999999999938,0.013835799999999995,0.013824000000000013,1.5702229141084745e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8192,64,8,16,4,4096,1,64,2368,True,AttentionBackend.FLASHINFER
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013757999999999982,0.01388900000000001,0.013804399999999975,0.013759999999999991,5.6577734136321874e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8192,64,8,16,4,4096,1,64,2432,True,AttentionBackend.FLASHINFER
